File,SourceText,X,Y,Width,Height,Font,Translated
boot_tv_indicator_01.png,チャンネル切り換え,31,6,167,20,Dominican,
boot_tv_indicator_02-left.png,しばらくお待ちください ,13,4,200,20,Dominican,
BtnNav-EnterCir-917-wide.tga,決定,12,8,21,12,Dominican,
selection.png,選択中,18,3,90,18,Dominican,
cut.png,カット済,0,0,127,23,Dominican,
TV-BtnNav-Enter.png,決定,12,14,21,13,Dominican,
TV-BtnNav-Enter2.png,決定,12,14,21,13,Dominican,
TV-Top-Audio-Main.png,主音声,10,43,43,13,Dominican,
TV-Top-Audio-Main2.png,主音声,10,43,43,13,Dominican,
TV-Top-Audio-MainSub.png,主/副,12,42,40,15,Dominican,
TV-Top-Audio-MainSub2.png,主/副,12,42,40,15,Dominican,
TV-Top-Audio-Stereo.png,ステレオ,10,43,45,13,Dominican,
TV-Top-Audio-Stereo2.png,ステレオ,10,43,45,13,Dominican,
TV-Top-Audio-Sub.png,副音声,10,42,44,13,Dominican,
TV-Top-Audio-Sub2.png,副音声,10,42,44,13,Dominican,
onsei_fukuonsei_01.tga,音声  副音声,28,0,115,27,Dominican,
onsei_shufuku_01.tga,音声 主/副,34,4,93,22,Dominican,
onsei_shuonsei_01.tga,音声 主音声,34,4,112,22,Dominican,
tv_hyouji_05.tga,画面表示,52,4,76,22,Dominican,
tv_ichijiteishi_05.tga,緑画一時停止,34,4,112,22,Dominican,
tv_onsei_05.tga,音声切り換え,34,4,112,22,Dominican,
tv_rec_05.tga,緑画,69,4,42,22,Dominican,
tv_recstop_05.tga,緑画停止,52,4,77,22,Dominican,
atok_mark.bmp,かしこい,23,32,73,15,Dominican,
atok_mark.bmp,日本語,23,50,50,14,Dominican,
osk_help.png,全角スペース揮入／文字変換 ,104,128,162,15,Dominican,
osk_help.png,文字削除,194,193,71,14,Dominican,
osk_help.png,中止 ,519,214,50,22,Dominican,
osk_help.png,戻る ,268,418,50,38,Dominican,
osk_help.png,基本操作,45,30,74,30,Dominican,
osk_help.png,入力する文字の切り換え,100,311,160,18,Dominican,
osk_help.png,文字の入力位置移動,126,260,138,14,Dominican,
osk_help.png,方向キー:項目,490,106,137,15,Dominican,
osk_help.png,"キー,項目の決定",519,148,110,15,Dominican,
osk_help.png,大/小文字切り換え,517,280,107,20,Dominican,
osk_help.png,完了,564,350,58,18,Dominican,
